GEOID,NAME,variable,MedHHinc,moe
53033000101,Census Tract 1.01; King County; Washington,medHHInc,69028,18363
53033000102,Census Tract 1.02; King County; Washington,medHHInc,87437,14048
53033000201,Census Tract 2.01; King County; Washington,medHHInc,83833,32678
53033000202,Census Tract 2.02; King County; Washington,medHHInc,136597,10669
53033000300,Census Tract 3; King County; Washington,medHHInc,129375,29933
53033000402,Census Tract 4.02; King County; Washington,medHHInc,99167,27236
53033000403,Census Tract 4.03; King County; Washington,medHHInc,70922,9611
53033000404,Census Tract 4.04; King County; Washington,medHHInc,46185,9381
53033000500,Census Tract 5; King County; Washington,medHHInc,207738,49540
53033000601,Census Tract 6.01; King County; Washington,medHHInc,94250,20812
53033000602,Census Tract 6.02; King County; Washington,medHHInc,106983,19063
53033000700,Census Tract 7; King County; Washington,medHHInc,107773,23711
53033000800,Census Tract 8; King County; Washington,medHHInc,140042,30793
53033000900,Census Tract 9; King County; Washington,medHHInc,134211,21969
53033001000,Census Tract 10; King County; Washington,medHHInc,146467,28323
53033001100,Census Tract 11; King County; Washington,medHHInc,143155,11240
53033001201,Census Tract 12.01; King County; Washington,medHHInc,49098,15307
53033001202,Census Tract 12.02; King County; Washington,medHHInc,88979,26141
53033001300,Census Tract 13; King County; Washington,medHHInc,93355,12721
53033001400,Census Tract 14; King County; Washington,medHHInc,127672,19401
53033001500,Census Tract 15; King County; Washington,medHHInc,194286,40588
53033001600,Census Tract 16; King County; Washington,medHHInc,229808,22009
53033001701,Census Tract 17.01; King County; Washington,medHHInc,130035,24226
53033001702,Census Tract 17.02; King County; Washington,medHHInc,124099,23580
53033001800,Census Tract 18; King County; Washington,medHHInc,115168,17242
53033001900,Census Tract 19; King County; Washington,medHHInc,139697,19000
53033002000,Census Tract 20; King County; Washington,medHHInc,156920,17015
53033002100,Census Tract 21; King County; Washington,medHHInc,137857,32076
53033002200,Census Tract 22; King County; Washington,medHHInc,189344,15178
53033002400,Census Tract 24; King County; Washington,medHHInc,168059,25992
53033002500,Census Tract 25; King County; Washington,medHHInc,163824,15768
53033002600,Census Tract 26; King County; Washington,medHHInc,147066,65694
53033002700,Census Tract 27; King County; Washington,medHHInc,220329,25066
53033002800,Census Tract 28; King County; Washington,medHHInc,142813,27311
53033002900,Census Tract 29; King County; Washington,medHHInc,124815,62223
53033003000,Census Tract 30; King County; Washington,medHHInc,188229,35048
53033003100,Census Tract 31; King County; Washington,medHHInc,186563,21471
53033003201,Census Tract 32.01; King County; Washington,medHHInc,126880,25984
53033003202,Census Tract 32.02; King County; Washington,medHHInc,163836,22830
53033003301,Census Tract 33.01; King County; Washington,medHHInc,128105,23865
53033003302,Census Tract 33.02; King County; Washington,medHHInc,162083,40663
53033003400,Census Tract 34; King County; Washington,medHHInc,181161,32816
53033003500,Census Tract 35; King County; Washington,medHHInc,145089,35737
53033003601,Census Tract 36.01; King County; Washington,medHHInc,117375,38116
53033003602,Census Tract 36.02; King County; Washington,medHHInc,100954,30345
53033003800,Census Tract 38; King County; Washington,medHHInc,175417,92614
53033003900,Census Tract 39; King County; Washington,medHHInc,211406,20879
53033004000,Census Tract 40; King County; Washington,medHHInc,122368,28292
53033004101,Census Tract 41.01; King County; Washington,medHHInc,250001,
53033004102,Census Tract 41.02; King County; Washington,medHHInc,221211,30505
53033004201,Census Tract 42.01; King County; Washington,medHHInc,191111,33792
53033004202,Census Tract 42.02; King County; Washington,medHHInc,193092,58474
53033004301,Census Tract 43.01; King County; Washington,medHHInc,116111,28198
53033004302,Census Tract 43.02; King County; Washington,medHHInc,47690,13734
53033004401,Census Tract 44.01; King County; Washington,medHHInc,136389,51771
53033004402,Census Tract 44.02; King County; Washington,medHHInc,59716,12311
53033004500,Census Tract 45; King County; Washington,medHHInc,183235,44049
53033004600,Census Tract 46; King County; Washington,medHHInc,163056,25393
53033004701,Census Tract 47.01; King County; Washington,medHHInc,112872,27688
53033004702,Census Tract 47.02; King County; Washington,medHHInc,137487,23445
53033004703,Census Tract 47.03; King County; Washington,medHHInc,160833,27582
53033004800,Census Tract 48; King County; Washington,medHHInc,145329,55727
53033004901,Census Tract 49.01; King County; Washington,medHHInc,119969,23903
53033004902,Census Tract 49.02; King County; Washington,medHHInc,124743,43940
53033005000,Census Tract 50; King County; Washington,medHHInc,108994,39599
53033005100,Census Tract 51; King County; Washington,medHHInc,147656,34035
53033005201,Census Tract 52.01; King County; Washington,medHHInc,113298,29049
53033005202,Census Tract 52.02; King County; Washington,medHHInc,48573,22972
53033005303,Census Tract 53.03; King County; Washington,medHHInc,38625,35000
53033005304,Census Tract 53.04; King County; Washington,medHHInc,25083,11318
53033005305,Census Tract 53.05; King County; Washington,medHHInc,28864,12443
53033005306,Census Tract 53.06; King County; Washington,medHHInc,42941,19455
53033005307,Census Tract 53.07; King County; Washington,medHHInc,40548,19427
53033005401,Census Tract 54.01; King County; Washington,medHHInc,139519,28602
53033005402,Census Tract 54.02; King County; Washington,medHHInc,108500,25437
53033005600,Census Tract 56; King County; Washington,medHHInc,220244,27326
53033005700,Census Tract 57; King County; Washington,medHHInc,185409,43041
53033005801,Census Tract 58.01; King County; Washington,medHHInc,137104,18567
53033005803,Census Tract 58.03; King County; Washington,medHHInc,169263,20719
53033005804,Census Tract 58.04; King County; Washington,medHHInc,100873,5516
53033005901,Census Tract 59.01; King County; Washington,medHHInc,158074,43741
53033005902,Census Tract 59.02; King County; Washington,medHHInc,177314,30642
53033006000,Census Tract 60; King County; Washington,medHHInc,144559,28256
53033006100,Census Tract 61; King County; Washington,medHHInc,138986,26401
53033006200,Census Tract 62; King County; Washington,medHHInc,250001,
53033006300,Census Tract 63; King County; Washington,medHHInc,189236,69377
53033006400,Census Tract 64; King County; Washington,medHHInc,223462,55486
53033006500,Census Tract 65; King County; Washington,medHHInc,167865,32356
53033006600,Census Tract 66; King County; Washington,medHHInc,136747,21481
53033006701,Census Tract 67.01; King County; Washington,medHHInc,162734,34007
53033006702,Census Tract 67.02; King County; Washington,medHHInc,136541,43564
53033006703,Census Tract 67.03; King County; Washington,medHHInc,124254,16934
53033006800,Census Tract 68; King County; Washington,medHHInc,173295,36311
53033006900,Census Tract 69; King County; Washington,medHHInc,182917,36866
53033007001,Census Tract 70.01; King County; Washington,medHHInc,71735,21457
53033007002,Census Tract 70.02; King County; Washington,medHHInc,97284,27188
53033007101,Census Tract 71.01; King County; Washington,medHHInc,117292,14426
53033007102,Census Tract 71.02; King County; Washington,medHHInc,127250,33678
53033007201,Census Tract 72.01; King County; Washington,medHHInc,106736,53059
53033007202,Census Tract 72.02; King County; Washington,medHHInc,170700,41311
53033007203,Census Tract 72.03; King County; Washington,medHHInc,133679,14039
53033007301,Census Tract 73.01; King County; Washington,medHHInc,103382,40433
53033007302,Census Tract 73.02; King County; Washington,medHHInc,176513,22149
53033007303,Census Tract 73.03; King County; Washington,medHHInc,159260,31620
53033007403,Census Tract 74.03; King County; Washington,medHHInc,104342,35288
53033007404,Census Tract 74.04; King County; Washington,medHHInc,99227,25478
53033007405,Census Tract 74.05; King County; Washington,medHHInc,102985,17983
53033007406,Census Tract 74.06; King County; Washington,medHHInc,62995,13365
53033007501,Census Tract 75.01; King County; Washington,medHHInc,72542,26327
53033007502,Census Tract 75.02; King County; Washington,medHHInc,104906,37740
53033007503,Census Tract 75.03; King County; Washington,medHHInc,125819,63104
53033007600,Census Tract 76; King County; Washington,medHHInc,132158,9479
53033007700,Census Tract 77; King County; Washington,medHHInc,163950,20149
53033007800,Census Tract 78; King County; Washington,medHHInc,196667,21499
53033007901,Census Tract 79.01; King County; Washington,medHHInc,76033,24623
53033007902,Census Tract 79.02; King County; Washington,medHHInc,110586,24019
53033008002,Census Tract 80.02; King County; Washington,medHHInc,121341,12067
53033008003,Census Tract 80.03; King County; Washington,medHHInc,102437,46056
53033008004,Census Tract 80.04; King County; Washington,medHHInc,187179,36830
53033008101,Census Tract 81.01; King County; Washington,medHHInc,118657,27384
53033008102,Census Tract 81.02; King County; Washington,medHHInc,145642,35046
53033008200,Census Tract 82; King County; Washington,medHHInc,135931,16544
53033008300,Census Tract 83; King County; Washington,medHHInc,92969,22659
53033008401,Census Tract 84.01; King County; Washington,medHHInc,107050,45842
53033008402,Census Tract 84.02; King County; Washington,medHHInc,81574,16193
53033008500,Census Tract 85; King County; Washington,medHHInc,69148,15984
53033008600,Census Tract 86; King County; Washington,medHHInc,87159,25879
53033008700,Census Tract 87; King County; Washington,medHHInc,177510,30980
53033008800,Census Tract 88; King County; Washington,medHHInc,134522,35820
53033008900,Census Tract 89; King County; Washington,medHHInc,102556,17960
53033009000,Census Tract 90; King County; Washington,medHHInc,62443,33197
53033009100,Census Tract 91; King County; Washington,medHHInc,37793,19685
53033009200,Census Tract 92; King County; Washington,medHHInc,39117,6789
53033009300,Census Tract 93; King County; Washington,medHHInc,120455,30977
53033009400,Census Tract 94; King County; Washington,medHHInc,94185,28254
53033009500,Census Tract 95; King County; Washington,medHHInc,141116,39590
53033009600,Census Tract 96; King County; Washington,medHHInc,157846,43721
53033009701,Census Tract 97.01; King County; Washington,medHHInc,121875,29641
53033009702,Census Tract 97.02; King County; Washington,medHHInc,171696,44761
53033009801,Census Tract 98.01; King County; Washington,medHHInc,102725,22849
53033009802,Census Tract 98.02; King County; Washington,medHHInc,130197,26638
53033009900,Census Tract 99; King County; Washington,medHHInc,109050,24135
53033010001,Census Tract 100.01; King County; Washington,medHHInc,87113,28357
53033010002,Census Tract 100.02; King County; Washington,medHHInc,103263,16676
53033010101,Census Tract 101.01; King County; Washington,medHHInc,46863,10468
53033010102,Census Tract 101.02; King County; Washington,medHHInc,144323,39427
53033010200,Census Tract 102; King County; Washington,medHHInc,166979,40433
53033010301,Census Tract 103.01; King County; Washington,medHHInc,129563,37803
53033010302,Census Tract 103.02; King County; Washington,medHHInc,126157,6893
53033010401,Census Tract 104.01; King County; Washington,medHHInc,134620,9727
53033010402,Census Tract 104.02; King County; Washington,medHHInc,96891,18721
53033010501,Census Tract 105.01; King County; Washington,medHHInc,116142,16109
53033010502,Census Tract 105.02; King County; Washington,medHHInc,120518,35268
53033010601,Census Tract 106.01; King County; Washington,medHHInc,149542,18011
53033010602,Census Tract 106.02; King County; Washington,medHHInc,104244,67460
53033010701,Census Tract 107.01; King County; Washington,medHHInc,102330,27373
53033010702,Census Tract 107.02; King County; Washington,medHHInc,95410,31457
53033010800,Census Tract 108; King County; Washington,medHHInc,149375,23050
53033010900,Census Tract 109; King County; Washington,medHHInc,96250,69051
53033011001,Census Tract 110.01; King County; Washington,medHHInc,51546,38562
53033011002,Census Tract 110.02; King County; Washington,medHHInc,82386,25399
53033011101,Census Tract 111.01; King County; Washington,medHHInc,91284,18849
53033011102,Census Tract 111.02; King County; Washington,medHHInc,112125,52550
53033011200,Census Tract 112; King County; Washington,medHHInc,83397,17159
53033011300,Census Tract 113; King County; Washington,medHHInc,127075,37641
53033011401,Census Tract 114.01; King County; Washington,medHHInc,101563,18833
53033011402,Census Tract 114.02; King County; Washington,medHHInc,107632,22178
53033011500,Census Tract 115; King County; Washington,medHHInc,124613,20017
53033011601,Census Tract 116.01; King County; Washington,medHHInc,164157,40225
53033011602,Census Tract 116.02; King County; Washington,medHHInc,148125,19366
53033011700,Census Tract 117; King County; Washington,medHHInc,87125,11726
53033011801,Census Tract 118.01; King County; Washington,medHHInc,92049,23906
53033011802,Census Tract 118.02; King County; Washington,medHHInc,68942,46391
53033011901,Census Tract 119.01; King County; Washington,medHHInc,146250,54465
53033011902,Census Tract 119.02; King County; Washington,medHHInc,130865,53249
53033012000,Census Tract 120; King County; Washington,medHHInc,117500,16755
53033012100,Census Tract 121; King County; Washington,medHHInc,187131,24920
53033020100,Census Tract 201; King County; Washington,medHHInc,146065,34598
53033020200,Census Tract 202; King County; Washington,medHHInc,97212,28701
53033020301,Census Tract 203.01; King County; Washington,medHHInc,92642,28266
53033020302,Census Tract 203.02; King County; Washington,medHHInc,96090,22876
53033020401,Census Tract 204.01; King County; Washington,medHHInc,98472,12411
53033020402,Census Tract 204.02; King County; Washington,medHHInc,121484,17408
53033020500,Census Tract 205; King County; Washington,medHHInc,131563,25431
53033020600,Census Tract 206; King County; Washington,medHHInc,165708,16892
53033020700,Census Tract 207; King County; Washington,medHHInc,100046,8980
53033020800,Census Tract 208; King County; Washington,medHHInc,163816,19523
53033020900,Census Tract 209; King County; Washington,medHHInc,111923,20319
53033021000,Census Tract 210; King County; Washington,medHHInc,115000,17971
53033021100,Census Tract 211; King County; Washington,medHHInc,119219,24975
53033021300,Census Tract 213; King County; Washington,medHHInc,125125,30296
53033021400,Census Tract 214; King County; Washington,medHHInc,159100,29605
53033021500,Census Tract 215; King County; Washington,medHHInc,192676,21636
53033021600,Census Tract 216; King County; Washington,medHHInc,128571,23003
53033021701,Census Tract 217.01; King County; Washington,medHHInc,180977,16485
53033021702,Census Tract 217.02; King County; Washington,medHHInc,83357,17039
53033021802,Census Tract 218.02; King County; Washington,medHHInc,153801,35397
53033021803,Census Tract 218.03; King County; Washington,medHHInc,125104,20420
53033021804,Census Tract 218.04; King County; Washington,medHHInc,121194,22753
53033021903,Census Tract 219.03; King County; Washington,medHHInc,91450,7830
53033021904,Census Tract 219.04; King County; Washington,medHHInc,167109,27504
53033021905,Census Tract 219.05; King County; Washington,medHHInc,130469,19587
53033021906,Census Tract 219.06; King County; Washington,medHHInc,153974,14242
53033022001,Census Tract 220.01; King County; Washington,medHHInc,115795,20349
53033022003,Census Tract 220.03; King County; Washington,medHHInc,130066,23521
53033022005,Census Tract 220.05; King County; Washington,medHHInc,120417,41497
53033022006,Census Tract 220.06; King County; Washington,medHHInc,128616,20457
53033022101,Census Tract 221.01; King County; Washington,medHHInc,180345,21282
53033022102,Census Tract 221.02; King County; Washington,medHHInc,175577,36741
53033022201,Census Tract 222.01; King County; Washington,medHHInc,128438,23907
53033022203,Census Tract 222.03; King County; Washington,medHHInc,154412,36133
53033022204,Census Tract 222.04; King County; Washington,medHHInc,128625,11087
53033022205,Census Tract 222.05; King County; Washington,medHHInc,117754,12669
53033022300,Census Tract 223; King County; Washington,medHHInc,198375,32205
53033022401,Census Tract 224.01; King County; Washington,medHHInc,174426,17267
53033022402,Census Tract 224.02; King County; Washington,medHHInc,158260,33142
53033022501,Census Tract 225.01; King County; Washington,medHHInc,190913,55054
53033022502,Census Tract 225.02; King County; Washington,medHHInc,146970,29285
53033022603,Census Tract 226.03; King County; Washington,medHHInc,163413,31683
53033022604,Census Tract 226.04; King County; Washington,medHHInc,185016,20748
53033022605,Census Tract 226.05; King County; Washington,medHHInc,132652,35071
53033022606,Census Tract 226.06; King County; Washington,medHHInc,185988,47588
53033022701,Census Tract 227.01; King County; Washington,medHHInc,177802,20426
53033022702,Census Tract 227.02; King County; Washington,medHHInc,225592,38774
53033022703,Census Tract 227.03; King County; Washington,medHHInc,228250,34780
53033022802,Census Tract 228.02; King County; Washington,medHHInc,164237,15044
53033022803,Census Tract 228.03; King County; Washington,medHHInc,174623,11371
53033022804,Census Tract 228.04; King County; Washington,medHHInc,103974,28499
53033022805,Census Tract 228.05; King County; Washington,medHHInc,157866,16926
53033022901,Census Tract 229.01; King County; Washington,medHHInc,186563,9590
53033022902,Census Tract 229.02; King County; Washington,medHHInc,204390,31537
53033023000,Census Tract 230; King County; Washington,medHHInc,182054,26187
53033023100,Census Tract 231; King County; Washington,medHHInc,191250,34551
53033023201,Census Tract 232.01; King County; Washington,medHHInc,111886,16961
53033023202,Census Tract 232.02; King County; Washington,medHHInc,95270,8795
53033023300,Census Tract 233; King County; Washington,medHHInc,175357,25350
53033023401,Census Tract 234.01; King County; Washington,medHHInc,142875,35395
53033023403,Census Tract 234.03; King County; Washington,medHHInc,159405,19946
53033023404,Census Tract 234.04; King County; Washington,medHHInc,166979,52511
53033023500,Census Tract 235; King County; Washington,medHHInc,148894,28359
53033023601,Census Tract 236.01; King County; Washington,medHHInc,166944,19154
53033023603,Census Tract 236.03; King County; Washington,medHHInc,142731,31943
53033023604,Census Tract 236.04; King County; Washington,medHHInc,124306,25833
53033023701,Census Tract 237.01; King County; Washington,medHHInc,208289,13682
53033023702,Census Tract 237.02; King County; Washington,medHHInc,137656,44356
53033023801,Census Tract 238.01; King County; Washington,medHHInc,132429,28905
53033023805,Census Tract 238.05; King County; Washington,medHHInc,164747,22024
53033023806,Census Tract 238.06; King County; Washington,medHHInc,162695,36890
